date,device_id,open_count,report_time,device_model,android_version,manufacturer,sdk_version,version,language,lcountry,user_id,ip_address,ip_type,country_name,country_code,region_name,region_code,city,latitude,longitude,timezone_id,current_time,isp
"2025-04-23","24f18c96d960fba6",4,"2025-04-23 01:25:55","PJA110","13","OnePlus",33,"1.7.5.1","zh","CN","1102796325","117.151.235.135","ipv4","中国","CN","Hubei","HB","Ezhou","30.3811092376709","114.8741683959961","Asia/Shanghai","2025-04-23T01:25:56+08:00","China Mobile Communications Group Co. Ltd."
"2025-04-23","7d9c23b0616fcb36",9,"2025-04-23 01:29:32","MI 8","10","Xiaomi",29,"1.7.4.5","","","","223.101.50.190","ipv4","中国","CN","Liaoning","LN","Shenyang","41.801021575927734","123.40206909179688","Asia/Shanghai","2025-04-23T01:29:27+08:00","China Mobile Communications Corporation"
"2025-04-22","4e2b605822045ef1",58,"2025-04-22 19:32:38","SM-A715F","13","samsung",33,"1.7.4.4","","","","","","","","","","","","","","",""
"2025-04-23","5a6e09679cc0e3b6",5,"2025-04-23 01:33:17","SM-S9210","14","samsung",34,"1.7.5","en","US","","61.130.109.197","ipv4","中国","CN","Zhejiang","ZJ","Hangzhou","30.235559463500977","120.15888977050781","Asia/Shanghai","2025-04-23T01:33:18+08:00","Chinanet"
"2025-04-23","3e72ab716b659832",1,"2025-04-23 01:36:42","M2007J3SC","12","Xiaomi",31,"1.7.5","en","US","","47.57.141.131","ipv4","中国香港特别行政区","HK","Hong Kong","HK","Aberdeen","22.248310089111328","114.15239715576172","Asia/Hong_Kong","2025-04-23T01:36:51+08:00","Alibaba (Us) Technology Co. Ltd."
"2025-04-23","3b2c7bde652b6038",4,"2025-04-23 01:38:01","M2002J9E","11","Xiaomi",30,"1.7.5","zh","TW","","111.25.4.6","ipv4","中国","CN","Jilin","JL","Changchun","43.869998931884766","125.3499984741211","Asia/Shanghai","2025-04-23T01:38:03+08:00","China Mobile Group Jilin Communications Corporation"
"2025-04-22","df9d613d9b98b47f",18,"2025-04-22 19:38:13","21091116UG","13","Xiaomi",33,"1.7.5","de","DE","","89.244.84.194","unknown","Germany","DE","Hesse","HE","Rüsselsheim am Main","49.9874","8.4232","Europe/Berlin","","1&1 Versatel Deutschland GmbH"
"2025-04-22","b18abdc4fd6ca230",1,"2025-04-22 22:38:38","ZS661KS","12","asus",31,"1.7.5.1","ru","RU","error","85.9.147.13","unknown","Tajikistan","TJ","Dushanbe","DU","Dushanbe","38.5347","68.7778","Asia/Dushanbe","","Tacom LLC"
"2025-04-23","7c161a49ce78d626",7,"2025-04-23 00:42:08","23028RN4DG","13","Xiaomi",33,"1.7.5","en","US","","180.252.166.245","unknown","Indonesia","ID","Jakarta","JK","Jakarta","-6.2114","106.8446","Asia/Jakarta","","PT Telekomunikasi Indonesia"
"2025-04-22","3618cfb92c5ef7a6",26,"2025-04-22 20:43:28","SM-A155F","14","samsung",34,"1.7.5","ar","AE","","51.36.238.67","unknown","unknown","SA","Mecca Region","02","Makkah","21.423","39.821","","","unknown"
"2025-04-22","c650a577f8eba164",6,"2025-04-22 18:45:21","SM-A515F","13","samsung",33,"1.7.5.1","en","US","1449728457","41.142.179.122","unknown","Morocco","MA","El-Jadida","JDI","El Jadida","33.2558","-8.5015","Africa/Casablanca","","MT-MPLS"
"2025-04-23","f43acb410bda7d55",4,"2025-04-23 01:48:25","SM-S9160","14","samsung",34,"1.7.5","en","US","","1.164.123.130","unknown","Taiwan","TW","Hsinchu City","HSQ","Hsinchu","24.8065","120.9706","Asia/Taipei","","Data Communication Business Group"
"2025-04-22","7b93ed4e675b3b92",5,"2025-04-22 14:50:18","21051182G","13","Xiaomi",33,"1.7.5","pt","BR","","170.83.206.7","unknown","Brazil","BR","Sergipe","SE","Estância","-11.2339","-37.4145","America/Maceio","","JF Solucoes Informatica Ltda."
"2025-04-22","361864d6545a0b50",14,"2025-04-22 20:50:19","vePFHAxCS5","6","ROG",33,"1.7.5.1","en","US","","102.17.118.70","unknown","Madagascar","MG","","","Antananarivo","-18.913","47.5296","Indian/Antananarivo","","Telecom-Malagasy"
"2025-04-23","3c52baec1f77f0df",2,"2025-04-23 01:52:25","22011211C","14","Xiaomi",34,"1.7.4.5","","","","137.184.176.137","unknown","United States","US","California","CA","Santa Clara","37.3931","-121.962","America/Los_Angeles","","DIGITALOCEAN-ASN"
"2025-04-22","1f8fcc30013d9d04",35,"2025-04-22 20:53:32","SM-A325F","13","samsung",33,"1.7.4.5","","","","78.180.49.43","unknown","Türkiye","TR","Istanbul","34","Istanbul","41.0256","28.8859","Europe/Istanbul","","Turk Telekom"
"2025-04-23","653552fb6fe9142a",4,"2025-04-23 01:54:17","2211133C","13","Xiaomi",33,"1.7.4.5","","","","125.71.115.10","ipv4","中国","CN","Sichuan","SC","Chengdu","30.653060913085938","104.06749725341797","Asia/Shanghai","2025-04-23T01:54:19+08:00","Chinanet"
